dependency,count
org.apache.oozie:oozie-sharelib-git,1
com.consol.citrus:citrus-selenium,1
org.gephi:project-api,1
io.github.quickmsg:smqtt-metric-prometheus,1
org.jboss.windup.jdt:windup-eclipse-jdt,1
io.atlasmap:atlas-java-module,1
io.syndesis.connector:connector-aws-sqs,1
io.syndesis.server:server-monitoring,1
org.apache.groovy:groovy-json,1
org.apereo.cas:cas-server-support-gauth,1
org.infinitest:infinitest-lib,1
org.scpsolver:SCPSolver,1
org.apache.camel.springboot.example:camel-example-spring-boot-opentracing-loggingtracer,1
com.facebook.presto:presto-prometheus,1
fish.payara.server.internal.admin:cli-optional-l10n,1
fish.payara.server.internal.flashlight:flashlight-framework-l10n,1
fish.payara.server.internal.packager:ldapbp-repackaged,1
servlets.com:cos,2
net.sf.eclipsecs:net.sf.eclipsecs.core,1
org.mayocat.platform:mayocat-platform-store-rdbms-jdbi,1
org.mayocat.shop:mayocat-shop-application,1
org.mayocat.shop:mayocat-shop-customer-api,1
org.neo4j:neo4j-cypher-macros,1
cn.stylefeng.roses:validator-spring-boot-starter,1
org.apache.pulsar:pulsar-io-hdfs2,1
org.springframework.cloud:spring-cloud-square-okhttp,1
com.l2fprod:l2fprod-common-all,1
org.apache.iotdb:iotdb-thrift-cluster,1
com.github.hairless:plink-web,1
com.baeldung:oauth-authorization-server,1
org.teavm:teavm-eclipse-feature,1
org.apache.geronimo.specs:geronimo-annotation_1.0_spec,1
com.alibaba.middleware:metrics-rest,1
org.springframework.cloud:spring-cloud-cluster-core,1
com.ftpix.homedash.plugins:networkmonitor,1
com.ibm.jnvmf:jnvmf,1
org.graphfoundation.ongdb:ongdb-command-line,1
org.flowable:flowable-ui-modeler-rest,1
com.github.drtrang:druid-spring-boot-actuator-autoconfigure,1
com.epam.jdi:jdi-matchers,1
uk.gov.nationalarchives:droid-core,1
org.nutz:nutzboot-starter-urule,1
org.nutz:nutzboot-starter-web3j,1
org.ejml:ejml-all,1
cc.blynk.clickhouse:clickhouse4j,1
org.slf4j:slf4j-simple,223
org.xwiki.platform:xwiki-platform-notifications-script,1
org.jboss.byteman:byteman,8
org.apache.poi:poi-ooxml-schemas,20
org.apache.camel.quarkus:camel-quarkus-attachments-deployment,1
org.apache.camel.quarkus:camel-quarkus-aws2-iam-deployment,1
org.apache.camel.quarkus:camel-quarkus-support-mongodb,1
org.apache.camel.quarkus:camel-quarkus-support-xstream-deployment,1
xuggle-utils:xuggle-utils,1
com.uber.jaeger:jaeger-core,2
org.glassfish.jersey.containers:jersey-container-simple-http,2
